slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
38,187.96666666666667,16.9684920449024,22.81339529178678,12.654997787714885,ATL,2026-06-07,rule_of_thumb
39,8.366666666666667,15.33685402198751,17.359361996841436,13.01251737032384,ATL,2026-06-07,rule_of_thumb
40,0.0,0.0,0.0,0.0,ATL,2026-06-07,rule_of_thumb
41,0.0,0.0,0.0,0.0,ATL,2026-06-07,rule_of_thumb
42,0.0,0.0,0.0,0.0,ATL,2026-06-07,rule_of_thumb
43,0.0,0.0,0.0,0.0,ATL,2026-06-07,rule_of_thumb
44,0.3,0.0,0.0,0.0,ATL,2026-06-07,rule_of_thumb
45,19.7,0.2652867729977481,1.0446143198229023,0.5164352926871081,ATL,2026-06-07,rule_of_thumb
0,378.1666666666667,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
1,628.8666666666667,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
2,998.8666666666667,0.0,0.0,0.0,ATL,2026-06-07,flat_feasible
3,1524.8666666666666,1.4230619773210474e-07,0.0,0.0,ATL,2026-06-07,flat_feasible
4,2143.3,0.0014773798375218965,0.011371655705483383,0.017558445724710953,ATL,2026-06-07,flat_feasible
5,2731.233333333333,0.02474351637297336,0.147504518897942,0.04719745136618462,ATL,2026-06-07,flat_feasible
6,3069.133333333333,0.18322614135684567,0.5227853787645682,0.10712087259772733,ATL,2026-06-07,flat_feasible
7,3168.9,0.4209132576860842,0.8739445375402926,0.26348355261884016,ATL,2026-06-07,flat_feasible
8,3289.9333333333334,1.0616705731287959,1.7678654406035177,0.4486105529897194,ATL,2026-06-07,flat_feasible
9,3321.1,2.0113966320169205,2.69026460377985,0.6175633981461249,ATL,2026-06-07,flat_feasible
10,3307.766666666667,3.266672020016988,3.964470142945517,0.7887946036182358,ATL,2026-06-07,flat_feasible
11,3047.8,3.262819097061782,3.994771889769418,0.8248874198306567,ATL,2026-06-07,flat_feasible
12,2676.4333333333334,1.355595824342903,2.3826834977162528,0.8144404878279585,ATL,2026-06-07,flat_feasible
13,2385.4,0.08863671151911419,0.36242045862917577,0.3591139390816115,ATL,2026-06-07,flat_feasible
14,2120.133333333333,0.00031239385793408576,0.0009900142515700372,0.0019403922777140017,ATL,2026-06-07,flat_feasible
15,2024.4333333333334,0.00014026151985463344,0.0003079815513562304,0.0006036327487026398,ATL,2026-06-07,flat_feasible
16,2145.366666666667,0.0004270166973059643,0.0016796945109225211,0.003212079031214447,ATL,2026-06-07,flat_feasible
17,2177.5666666666666,0.0002967803870651377,0.0,0.0,ATL,2026-06-07,flat_feasible
18,2330.2,0.0018989293855330137,0.011543691889400694,0.009091254645267418,ATL,2026-06-07,flat_feasible
19,2422.366666666667,0.0021449602416784633,0.011801431415967336,0.005712073594177015,ATL,2026-06-07,flat_feasible
20,2416.8,0.002792716395723409,0.017553738557274972,0.014050488466692284,ATL,2026-06-07,flat_feasible
